Date,Open,High,Low,Close,Volume
2024-12-04 05:43:51,1.05047,1.05286,1.04821,1.05111,0
2024-12-04 05:44:23,1.05047,1.05286,1.04821,1.05113,0
2024-12-04 05:44:55,1.05047,1.05286,1.04821,1.05115,0
2024-12-04 05:45:28,1.05047,1.05286,1.04821,1.05117,0
2024-12-04 05:47:13,1.05047,1.05286,1.04821,1.05080,0
2024-12-04 05:47:44,1.05047,1.05286,1.04821,1.05070,0
2024-12-04 05:48:16,1.05047,1.05286,1.04821,1.05055,0
2024-12-04 05:48:48,1.05047,1.05286,1.04821,1.05054,0
2024-12-04 05:49:20,1.05047,1.05286,1.04821,1.05056,0
2024-12-04 05:49:51,1.05047,1.05286,1.04821,1.05059,0
2024-12-04 05:50:24,1.05047,1.05286,1.04821,1.05051,0
2024-12-04 05:50:59,1.05047,1.05286,1.04821,1.05051,0
2024-12-04 05:51:31,1.05047,1.05286,1.04821,1.05037,0
2024-12-04 05:52:03,1.05047,1.05286,1.04821,1.05034,0
2024-12-04 05:52:34,1.05047,1.05286,1.04821,1.05032,0
2024-12-04 05:53:06,1.05047,1.05286,1.04821,1.05021,0
2024-12-04 05:53:38,1.05047,1.05286,1.04821,1.05029,0
2024-12-04 05:54:11,1.05047,1.05286,1.04821,1.05039,0
2024-12-04 05:54:43,1.05047,1.05286,1.04821,1.05041,0
2024-12-04 05:55:16,1.05047,1.05286,1.04821,1.05039,0
2024-12-04 05:55:48,1.05047,1.05286,1.04821,1.05030,0
2024-12-04 05:56:20,1.05047,1.05286,1.04821,1.05049,0
2024-12-04 05:56:54,1.05047,1.05286,1.04821,1.05049,0
2024-12-04 05:58:39,1.05047,1.05286,1.04821,1.05054,0
2024-12-04 05:59:12,1.05047,1.05286,1.04821,1.05058,0
2024-12-04 05:59:44,1.05047,1.05286,1.04821,1.05051,0
2024-12-04 06:00:17,1.05047,1.05286,1.04821,1.05045,0
2024-12-04 06:00:48,1.05047,1.05286,1.04821,1.05040,0
2024-12-04 06:01:20,1.05047,1.05286,1.04821,1.05025,0
2024-12-04 06:01:54,1.05047,1.05286,1.04821,1.05039,0
2024-12-04 06:02:26,1.05047,1.05286,1.04821,1.05004,0
2024-12-04 06:02:59,1.05047,1.05286,1.04821,1.04998,0
2024-12-04 06:03:31,1.05047,1.05286,1.04821,1.05011,0
2024-12-04 06:04:03,1.05047,1.05286,1.04821,1.05004,0
2024-12-04 06:04:35,1.05047,1.05286,1.04821,1.05013,0
2024-12-04 06:05:07,1.05047,1.05286,1.04821,1.05009,0
2024-12-04 06:05:40,1.05047,1.05286,1.04821,1.05008,0
2024-12-04 06:06:12,1.05047,1.05286,1.04821,1.04996,0
2024-12-04 06:06:44,1.05047,1.05286,1.04821,1.04990,0
2024-12-04 06:07:15,1.05047,1.05286,1.04821,1.04980,0
2024-12-04 06:07:48,1.05047,1.05286,1.04821,1.04972,0
2024-12-04 06:08:20,1.05047,1.05286,1.04821,1.05004,0
2024-12-04 06:10:05,1.05047,1.05286,1.04821,1.04979,0
2024-12-04 06:10:37,1.05047,1.05286,1.04821,1.04976,0
2024-12-04 06:11:09,1.05047,1.05286,1.04821,1.04975,0
2024-12-04 06:11:41,1.05047,1.05286,1.04821,1.04975,0
2024-12-04 06:12:14,1.05047,1.05286,1.04821,1.04985,0
2024-12-04 06:12:47,1.05047,1.05286,1.04821,1.04974,0
2024-12-04 06:13:20,1.05047,1.05286,1.04821,1.04981,0
2024-12-04 06:13:52,1.05047,1.05286,1.04821,1.04994,0
2024-12-04 06:14:24,1.05047,1.05286,1.04821,1.04981,0
